array_type,size,algorithm,kind,time_ms,char_ops
almost,100,StringQuickSort,specialized,0.001915,654
almost,100,StringMergeSort,specialized,0.009919,361
almost,100,MsdRadixSort,specialized,0.004987,221
almost,100,MsdRadixQuickSort,specialized,0.003581,554
almost,200,StandardQuickSort,standard,0.006193,2442
almost,200,StandardMergeSort,standard,0.022580,1544
almost,200,StringQuickSort,specialized,0.004449,1645
almost,200,StringMergeSort,specialized,0.021604,714
almost,200,MsdRadixSort,specialized,0.011252,444
almost,200,MsdRadixQuickSort,specialized,0.009104,1079
almost,300,StandardQuickSort,standard,0.008433,3282
almost,300,StandardMergeSort,standard,0.037149,2554
almost,300,StringQuickSort,specialized,0.006454,2214
almost,300,StringMergeSort,specialized,0.041888,1111
almost,300,MsdRadixSort,specialized,0.017934,670
almost,300,MsdRadixQuickSort,specialized,0.011510,1660
almost,400,StandardQuickSort,standard,0.010970,4577
almost,400,StandardMergeSort,standard,0.054526,3310
almost,400,StringQuickSort,specialized,0.008119,3040
almost,400,StringMergeSort,specialized,0.073536,1491
almost,400,MsdRadixSort,specialized,0.024189,892
almost,400,MsdRadixQuickSort,specialized,0.016777,2188
almost,500,StandardQuickSort,standard,0.013737,5773
almost,500,StandardMergeSort,standard,0.072013,4348
almost,500,StringQuickSort,specialized,0.011738,4014
almost,500,StringMergeSort,specialized,0.094070,1866
almost,500,MsdRadixSort,specialized,0.032996,1119
almost,500,MsdRadixQuickSort,specialized,0.020846,2748
almost,600,StandardQuickSort,standard,0.017746,7115
almost,600,StandardMergeSort,standard,0.106423,5347
almost,600,StringQuickSort,specialized,0.013625,4908
almost,600,StringMergeSort,specialized,0.126235,2222
almost,600,MsdRadixSort,specialized,0.038653,1337
almost,600,MsdRadixQuickSort,specialized,0.025307,3271
almost,700,StandardQuickSort,standard,0.026394,8600
almost,700,StandardMergeSort,standard,0.126874,6474
almost,700,StringQuickSort,specialized,0.016990,5965
almost,700,StringMergeSort,specialized,0.158131,2601
almost,700,MsdRadixSort,specialized,0.045628,1558
almost,700,MsdRadixQuickSort,specialized,0.032119,3831
almost,800,StandardQuickSort,standard,0.025231,10018
almost,800,StandardMergeSort,standard,0.201874,7567
almost,800,StringQuickSort,specialized,0.043095,6994
almost,800,StringMergeSort,specialized,0.376066,3044
almost,800,MsdRadixSort,specialized,0.108147,1781
almost,800,MsdRadixQuickSort,specialized,0.080583,4410
almost,900,StandardQuickSort,standard,0.056732,11397
almost,900,StandardMergeSort,standard,0.348781,8829
almost,900,StringQuickSort,specialized,0.047399,7901
almost,900,StringMergeSort,specialized,0.406873,3389
almost,900,MsdRadixSort,specialized,0.120959,2002
almost,900,MsdRadixQuickSort,specialized,0.093722,4938
almost,1000,StandardQuickSort,standard,0.068300,13008
almost,1000,StandardMergeSort,standard,0.401397,10152
almost,1000,StringQuickSort,specialized,0.048141,8957
almost,1000,StringMergeSort,specialized,0.331291,3868
almost,1000,MsdRadixSort,specialized,0.074886,2226
almost,1000,MsdRadixQuickSort,specialized,0.095075,5470
almost,1100,StandardQuickSort,standard,0.062579,14685
almost,1100,StandardMergeSort,standard,0.329577,11197
almost,1100,StringQuickSort,specialized,0.038178,10058
almost,1100,StringMergeSort,specialized,0.345273,4155
almost,1100,MsdRadixSort,specialized,0.075863,2449
almost,1100,MsdRadixQuickSort,specialized,0.061827,6023
almost,1200,StandardQuickSort,standard,0.044621,16297
almost,1200,StandardMergeSort,standard,0.353175,12339
almost,1200,StringQuickSort,specialized,0.033676,11013
almost,1200,StringMergeSort,specialized,0.338395,4633
almost,1200,MsdRadixSort,specialized,0.106421,2676
almost,1200,MsdRadixQuickSort,specialized,0.087753,6628
almost,1300,StandardQuickSort,standard,0.058009,17846
almost,1300,StandardMergeSort,standard,0.372852,13409
almost,1300,StringQuickSort,specialized,0.042456,12248
almost,1300,StringMergeSort,specialized,0.441657,5002
almost,1300,MsdRadixSort,specialized,0.126048,2901
almost,1300,MsdRadixQuickSort,specialized,0.086880,7175
almost,1400,StandardQuickSort,standard,0.086757,19475
almost,1400,StandardMergeSort,standard,0.744058,14287
almost,1400,StringQuickSort,specialized,0.111915,13124
almost,1400,StringMergeSort,specialized,0.811312,5368
almost,1400,MsdRadixSort,specialized,0.235384,3124
almost,1400,MsdRadixQuickSort,specialized,0.201974,7742
almost,1500,StandardQuickSort,standard,0.166689,21376
almost,1500,StandardMergeSort,standard,0.825721,16058
almost,1500,StringQuickSort,specialized,0.122152,14188
almost,1500,StringMergeSort,specialized,0.926531,5888
almost,1500,MsdRadixSort,specialized,0.261410,3346
almost,1500,MsdRadixQuickSort,specialized,0.212807,8300
almost,1600,StandardQuickSort,standard,0.165492,22829
almost,1600,StandardMergeSort,standard,0.828471,17210
almost,1600,StringQuickSort,specialized,0.129494,15236
almost,1600,StringMergeSort,specialized,0.947332,6344
almost,1600,MsdRadixSort,specialized,0.268078,3571
almost,1600,MsdRadixQuickSort,specialized,0.214815,8836
almost,1700,StandardQuickSort,standard,0.180437,24357
almost,1700,StandardMergeSort,standard,0.919942,18257
almost,1700,StringQuickSort,specialized,0.146716,16827
almost,1700,StringMergeSort,specialized,1.007703,6714
almost,1700,MsdRadixSort,specialized,0.283187,3798
almost,1700,MsdRadixQuickSort,specialized,0.232942,9377
almost,1800,StandardQuickSort,standard,0.190810,26075
almost,1800,StandardMergeSort,standard,0.968112,19687
almost,1800,StringQuickSort,specialized,0.153117,17423
almost,1800,StringMergeSort,specialized,1.070696,7233
almost,1800,MsdRadixSort,specialized,0.301415,4028
almost,1800,MsdRadixQuickSort,specialized,0.250946,9955
almost,1900,StandardQuickSort,standard,0.204867,27899
almost,1900,StandardMergeSort,standard,1.019710,21115
almost,1900,StringQuickSort,specialized,0.164307,18589
almost,1900,StringMergeSort,specialized,1.139983,7771
almost,1900,MsdRadixSort,specialized,0.307380,4250
almost,1900,MsdRadixQuickSort,specialized,0.259439,10506
almost,2000,StandardQuickSort,standard,0.220438,29979
almost,2000,StandardMergeSort,standard,1.087280,22346
almost,2000,StringQuickSort,specialized,0.179067,19686
almost,2000,StringMergeSort,specialized,1.232740,8188
almost,2000,MsdRadixSort,specialized,0.349142,4473
almost,2000,MsdRadixQuickSort,specialized,0.288739,11078
almost,2100,StandardQuickSort,standard,0.227534,31242
almost,2100,StandardMergeSort,standard,1.137080,23051
almost,2100,StringQuickSort,specialized,0.185789,20813
almost,2100,StringMergeSort,specialized,1.317889,8591
almost,2100,MsdRadixSort,specialized,0.346929,4697
almost,2100,MsdRadixQuickSort,specialized,0.285450,11630
almost,2200,StandardQuickSort,standard,0.243112,32780
almost,2200,StandardMergeSort,standard,1.270330,24446
almost,2200,StringQuickSort,specialized,0.192876,21837
almost,2200,StringMergeSort,specialized,1.378681,8852
almost,2200,MsdRadixSort,specialized,0.365987,4925
almost,2200,MsdRadixQuickSort,specialized,0.314635,12199
almost,2300,StandardQuickSort,standard,0.261731,35288
almost,2300,StandardMergeSort,standard,1.301350,25714
almost,2300,StringQuickSort,specialized,0.204361,23148
almost,2300,StringMergeSort,specialized,1.444410,9286
almost,2300,MsdRadixSort,specialized,0.380650,5150
almost,2300,MsdRadixQuickSort,specialized,0.331334,12735
almost,2400,StandardQuickSort,standard,0.265440,37014
almost,2400,StandardMergeSort,standard,1.406564,26828
almost,2400,StringQuickSort,specialized,0.222574,24989
almost,2400,StringMergeSort,specialized,1.573099,9727
almost,2400,MsdRadixSort,specialized,0.409333,5383
almost,2400,MsdRadixQuickSort,specialized,0.348188,13313
almost,2500,StandardQuickSort,standard,0.290023,38854
almost,2500,StandardMergeSort,standard,1.468868,27950
almost,2500,StringQuickSort,specialized,0.234063,25576
almost,2500,StringMergeSort,specialized,1.613677,10126
almost,2500,MsdRadixSort,specialized,0.436252,5610
almost,2500,MsdRadixQuickSort,specialized,0.357853,13878
almost,2600,StandardQuickSort,standard,0.309615,41541
almost,2600,StandardMergeSort,standard,1.468122,29273
almost,2600,StringQuickSort,specialized,0.246062,26579
almost,2600,StringMergeSort,specialized,1.663846,10589
almost,2600,MsdRadixSort,specialized,0.433726,5833
almost,2600,MsdRadixQuickSort,specialized,0.379875,14441
almost,2700,StandardQuickSort,standard,0.316315,43090
almost,2700,StandardMergeSort,standard,1.694099,30811
almost,2700,StringQuickSort,specialized,0.265468,27742
almost,2700,StringMergeSort,specialized,1.885489,11089
almost,2700,MsdRadixSort,specialized,0.453130,6056
almost,2700,MsdRadixQuickSort,specialized,0.418918,14967
almost,2800,StandardQuickSort,standard,0.330423,44903
almost,2800,StandardMergeSort,standard,1.621053,31427
almost,2800,StringQuickSort,specialized,0.270262,28873
almost,2800,StringMergeSort,specialized,1.837633,11290
almost,2800,MsdRadixSort,specialized,0.456652,6283
almost,2800,MsdRadixQuickSort,specialized,0.407069,15544
almost,2900,StandardQuickSort,standard,0.342838,46356
almost,2900,StandardMergeSort,standard,1.738317,32920
almost,2900,StringQuickSort,specialized,0.283953,30280
almost,2900,StringMergeSort,specialized,1.927642,11748
almost,2900,MsdRadixSort,specialized,0.495073,6519
almost,2900,MsdRadixQuickSort,specialized,0.432276,16099
almost,3000,StandardQuickSort,standard,0.356233,47205
almost,3000,StandardMergeSort,standard,1.805028,33236
almost,3000,StringQuickSort,specialized,0.312005,31558
almost,3000,StringMergeSort,specialized,2.034226,12189
almost,3000,MsdRadixSort,specialized,0.502299,6732
almost,3000,MsdRadixQuickSort,specialized,0.437112,16679
prefixed,100,StandardQuickSort,standard,0.008857,3331
prefixed,100,StandardMergeSort,standard,0.025454,3260
prefixed,100,StringQuickSort,specialized,0.019705,3602
prefixed,100,StringMergeSort,specialized,0.024903,2312
prefixed,100,MsdRadixSort,specialized,0.008561,2851
prefixed,100,MsdRadixQuickSort,specialized,0.020936,3153
prefixed,200,StandardQuickSort,standard,0.026529,10791
prefixed,200,StandardMergeSort,standard,0.074007,10952
prefixed,200,StringQuickSort,specialized,0.042745,8673
prefixed,200,StringMergeSort,specialized,0.073581,6428
prefixed,200,MsdRadixSort,specialized,0.024452,9806
prefixed,200,MsdRadixQuickSort,specialized,0.047668,7908
prefixed,300,StandardQuickSort,standard,0.051942,21779
prefixed,300,StandardMergeSort,standard,0.145937,21403
prefixed,300,StringQuickSort,specialized,0.062848,14010
prefixed,300,StringMergeSort,specialized,0.150544,11033
prefixed,300,MsdRadixSort,specialized,0.055601,20541
prefixed,300,MsdRadixQuickSort,specialized,0.070222,12419
prefixed,400,StandardQuickSort,standard,0.087132,36439
prefixed,400,StandardMergeSort,standard,0.216139,33624
prefixed,400,StringQuickSort,specialized,0.074533,18158
prefixed,400,StringMergeSort,specialized,0.222896,15412
prefixed,400,MsdRadixSort,specialized,0.085791,37018
prefixed,400,MsdRadixQuickSort,specialized,0.089455,16590
prefixed,500,StandardQuickSort,standard,0.121841,50776
prefixed,500,StandardMergeSort,standard,0.285068,47774
prefixed,500,StringQuickSort,specialized,0.092520,23262
prefixed,500,StringMergeSort,specialized,0.291954,20142
prefixed,500,MsdRadixSort,specialized,0.117143,56280
prefixed,500,MsdRadixQuickSort,specialized,0.111656,21124
prefixed,600,StandardQuickSort,standard,0.160677,68308
prefixed,600,StandardMergeSort,standard,0.371675,64097
prefixed,600,StringQuickSort,specialized,0.119039,29006
prefixed,600,StringMergeSort,specialized,0.376311,24863
prefixed,600,MsdRadixSort,specialized,0.368316,72800
prefixed,600,MsdRadixQuickSort,specialized,0.138382,25592
prefixed,700,StandardQuickSort,standard,0.193122,88358
prefixed,700,StandardMergeSort,standard,0.468541,79785
prefixed,700,StringQuickSort,specialized,0.134531,33188
prefixed,700,StringMergeSort,specialized,0.458110,29531
prefixed,700,MsdRadixSort,specialized,1.033670,74593
prefixed,700,MsdRadixQuickSort,specialized,0.163439,30050
prefixed,800,StandardQuickSort,standard,0.238603,111330
prefixed,800,StandardMergeSort,standard,0.553957,97445
prefixed,800,StringQuickSort,specialized,0.155690,38484
prefixed,800,StringMergeSort,specialized,0.527555,34292
prefixed,800,MsdRadixSort,specialized,1.629011,71547
prefixed,800,MsdRadixQuickSort,specialized,0.187724,34560
prefixed,900,StandardQuickSort,standard,0.268640,123229
prefixed,900,StandardMergeSort,standard,0.647043,115685
prefixed,900,StringQuickSort,specialized,0.172527,42719
prefixed,900,StringMergeSort,specialized,0.600273,38820
prefixed,900,MsdRadixSort,specialized,2.137725,70846
prefixed,900,MsdRadixQuickSort,specialized,0.210882,38982
prefixed,1000,StandardQuickSort,standard,0.315205,143708
prefixed,1000,StandardMergeSort,standard,0.716904,133688
prefixed,1000,StringQuickSort,specialized,0.200872,48283
prefixed,1000,StringMergeSort,specialized,0.685837,43470
prefixed,1000,MsdRadixSort,specialized,2.674998,71787
prefixed,1000,MsdRadixQuickSort,specialized,0.236714,43485
prefixed,1100,StandardQuickSort,standard,0.351642,162733
prefixed,1100,StandardMergeSort,standard,0.818893,151411
prefixed,1100,StringQuickSort,specialized,0.222909,52952
prefixed,1100,StringMergeSort,specialized,0.777324,48221
prefixed,1100,MsdRadixSort,specialized,3.115071,72993
prefixed,1100,MsdRadixQuickSort,specialized,0.268065,47992
prefixed,1200,StandardQuickSort,standard,0.399433,190718
prefixed,1200,StandardMergeSort,standard,0.869104,173007
prefixed,1200,StringQuickSort,specialized,0.255191,57743
prefixed,1200,StringMergeSort,specialized,0.881869,52960
prefixed,1200,MsdRadixSort,specialized,3.681447,61018
prefixed,1200,MsdRadixQuickSort,specialized,0.334070,52572
prefixed,1300,StandardQuickSort,standard,0.448882,214276
prefixed,1300,StandardMergeSort,standard,0.987901,190981
prefixed,1300,StringQuickSort,specialized,0.292174,62228
prefixed,1300,StringMergeSort,specialized,0.956769,57556
prefixed,1300,MsdRadixSort,specialized,3.989493,62452
prefixed,1300,MsdRadixQuickSort,specialized,0.363703,56985
prefixed,1400,StandardQuickSort,standard,0.477050,235019
prefixed,1400,StandardMergeSort,standard,1.088711,212064
prefixed,1400,StringQuickSort,specialized,0.317265,67267
prefixed,1400,StringMergeSort,specialized,1.045971,62366
prefixed,1400,MsdRadixSort,specialized,4.427027,59987
prefixed,1400,MsdRadixQuickSort,specialized,0.410410,61404
prefixed,1500,StandardQuickSort,standard,0.540654,255148
prefixed,1500,StandardMergeSort,standard,1.216199,233221
prefixed,1500,StringQuickSort,specialized,0.343170,72236
prefixed,1500,StringMergeSort,specialized,1.123762,67133
prefixed,1500,MsdRadixSort,specialized,4.535130,60309
prefixed,1500,MsdRadixQuickSort,specialized,0.438168,65835
prefixed,1600,StandardQuickSort,standard,0.565964,289610
prefixed,1600,StandardMergeSort,standard,1.292054,254413
prefixed,1600,StringQuickSort,specialized,0.372460,77373
prefixed,1600,StringMergeSort,specialized,1.240132,71912
prefixed,1600,MsdRadixSort,specialized,4.809544,64364
prefixed,1600,MsdRadixQuickSort,specialized,0.475095,70321
prefixed,1700,StandardQuickSort,standard,0.627250,318969
prefixed,1700,StandardMergeSort,standard,1.355993,276784
prefixed,1700,StringQuickSort,specialized,0.411563,83605
prefixed,1700,StringMergeSort,specialized,1.310130,76664
prefixed,1700,MsdRadixSort,specialized,4.958729,68419
prefixed,1700,MsdRadixQuickSort,specialized,0.533348,74953
prefixed,1800,StandardQuickSort,standard,0.676898,339678
prefixed,1800,StandardMergeSort,standard,1.506145,297318
prefixed,1800,StringQuickSort,specialized,0.430286,87873
prefixed,1800,StringMergeSort,specialized,1.413214,81351
prefixed,1800,MsdRadixSort,specialized,5.086135,72440
prefixed,1800,MsdRadixQuickSort,specialized,0.557845,79514
prefixed,1900,StandardQuickSort,standard,0.711557,368427
prefixed,1900,StandardMergeSort,standard,1.606729,320582
prefixed,1900,StringQuickSort,specialized,0.459352,93158
prefixed,1900,StringMergeSort,specialized,1.496039,86269
prefixed,1900,MsdRadixSort,specialized,5.143315,76532
prefixed,1900,MsdRadixQuickSort,specialized,0.596878,84300
prefixed,2000,StandardQuickSort,standard,0.767149,392372
prefixed,2000,StandardMergeSort,standard,1.735900,342882
prefixed,2000,StringQuickSort,specialized,0.492705,99945
prefixed,2000,StringMergeSort,specialized,1.587040,90963
prefixed,2000,MsdRadixSort,specialized,5.154454,80629
prefixed,2000,MsdRadixQuickSort,specialized,0.640466,88747
prefixed,2100,StandardQuickSort,standard,0.827695,413043
prefixed,2100,StandardMergeSort,standard,1.852960,366500
prefixed,2100,StringQuickSort,specialized,0.517454,104061
prefixed,2100,StringMergeSort,specialized,1.701589,95826
prefixed,2100,MsdRadixSort,specialized,5.509612,84688
prefixed,2100,MsdRadixQuickSort,specialized,0.697665,93068
prefixed,2200,StandardQuickSort,standard,0.884244,452299
prefixed,2200,StandardMergeSort,standard,1.943790,388648
prefixed,2200,StringQuickSort,specialized,0.515680,109184
prefixed,2200,StringMergeSort,specialized,1.770441,100633
prefixed,2200,MsdRadixSort,specialized,5.679249,88798
prefixed,2200,MsdRadixQuickSort,specialized,0.682150,97569
prefixed,2300,StandardQuickSort,standard,0.908217,468131
prefixed,2300,StandardMergeSort,standard,2.043424,412714
prefixed,2300,StringQuickSort,specialized,0.524272,114185
prefixed,2300,StringMergeSort,specialized,1.897836,105549
prefixed,2300,MsdRadixSort,specialized,5.769414,92990
prefixed,2300,MsdRadixQuickSort,specialized,0.724333,102597
prefixed,2400,StandardQuickSort,standard,0.970132,504366
prefixed,2400,StandardMergeSort,standard,2.197321,438067
prefixed,2400,StringQuickSort,specialized,0.551328,119324
prefixed,2400,StringMergeSort,specialized,1.980201,110303
prefixed,2400,MsdRadixSort,specialized,5.852202,96950
prefixed,2400,MsdRadixQuickSort,specialized,0.753287,106948
prefixed,2500,StandardQuickSort,standard,1.000201,512380
prefixed,2500,StandardMergeSort,standard,2.247934,461321
prefixed,2500,StringQuickSort,specialized,0.573431,122864
prefixed,2500,StringMergeSort,specialized,2.072900,115078
prefixed,2500,MsdRadixSort,specialized,5.920084,100983
prefixed,2500,MsdRadixQuickSort,specialized,0.778521,111709
prefixed,2600,StandardQuickSort,standard,1.068180,553921
prefixed,2600,StandardMergeSort,standard,2.389793,486109
prefixed,2600,StringQuickSort,specialized,0.621118,128104
prefixed,2600,StringMergeSort,specialized,2.215307,120020
prefixed,2600,MsdRadixSort,specialized,6.024096,105213
prefixed,2600,MsdRadixQuickSort,specialized,0.823822,116506
prefixed,2700,StandardQuickSort,standard,1.097894,582736
prefixed,2700,StandardMergeSort,standard,2.478325,511218
prefixed,2700,StringQuickSort,specialized,0.617366,133465
prefixed,2700,StringMergeSort,specialized,2.315051,124826
prefixed,2700,MsdRadixSort,specialized,6.314372,109270
prefixed,2700,MsdRadixQuickSort,specialized,0.811881,121136
prefixed,2800,StandardQuickSort,standard,0.939023,621409
prefixed,2800,StandardMergeSort,standard,2.147815,535549
prefixed,2800,StringQuickSort,specialized,0.616790,140205
prefixed,2800,StringMergeSort,specialized,2.016920,129718
prefixed,2800,MsdRadixSort,specialized,5.561855,113444
prefixed,2800,MsdRadixQuickSort,specialized,0.798953,126269
prefixed,2900,StandardQuickSort,standard,1.001447,629091
prefixed,2900,StandardMergeSort,standard,2.062939,558173
prefixed,2900,StringQuickSort,specialized,0.617760,143083
prefixed,2900,StringMergeSort,specialized,2.125854,134540
prefixed,2900,MsdRadixSort,specialized,5.622158,117612
prefixed,2900,MsdRadixQuickSort,specialized,0.794301,131071
prefixed,3000,StandardQuickSort,standard,1.062041,666194
prefixed,3000,StandardMergeSort,standard,2.319055,586881
prefixed,3000,StringQuickSort,specialized,0.653039,147253
prefixed,3000,StringMergeSort,specialized,2.147641,139509
prefixed,3000,MsdRadixSort,specialized,5.592149,121740
prefixed,3000,MsdRadixQuickSort,specialized,0.862532,135578
